IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",1,"Male",88,80,80,"80",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.11611163
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",2,"Female",88,80,80,"80",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.09889372
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",1,"Male",171,81,81,"81",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.12755716
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",2,"Female",171,81,81,"81",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.1096386
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",1,"Male",172,82,82,"82",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.13988215
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",2,"Female",172,82,82,"82",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.12126878
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",1,"Male",173,83,83,"83",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.15317523
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",2,"Female",173,83,83,"83",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.13368171
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",1,"Male",174,84,84,"84",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.16762878
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",2,"Female",174,84,84,"84",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.14676996
